title,description,genre
The Marsh King's Daughter,"Helena, a woman living a seemingly ordinary life, hides a dark secret—her father is the infamous 'Marsh King', the man who kept her and her mother captive in the wilderness for years. After a lifetime of trying to escape her past, Helena is forced to face her demons when her father unexpectedly escapes from prison.","Thriller, Crime, Mystery"
Uncle Frank,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid.",Drama
Bad Education,An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.,"Drama, Crime"
Lullaby,A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,Horror
Molester Diary: A Man Who Kept Stroking Ass 3,"This is a criminal act. But I can't stop crying !! Chapter 3 Continue ... I want it. The art teacher's finger is a magical ubi! Elevator girl, days of lust for school girls to seek ""indecent"" ?! Kyoko, an elevator girl who was surprised when she was molested on a commuter train. The molester man who is crazy about Kyoko's ass is Ishikawa, a high school art teacher. By touching Kyoko, Ishikawa, who leads a mediocre life, begins to regain his forgotten passion for sculpture. On the other hand, Kyoko forgives her body to Yano, an old man who wants to return Yori, but she finds herself that she can only feel it with Ishikawa's hands like playing with clay. Meanwhile, Ishikawa asks Kyoko to become a model for her sculpture, as if inspired by her student Kayo, who favors her and continues her provocation. Kyoko heads to the art room at midnight, Kayo chasing after her, while being puzzled by that pleasure ... The third must-see in the ""Ass Stroke"" series!",
Drop Dead Gorgeous,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps; explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town, the police are pretty relaxed about it all. Despite everything, main rival (but sweet) Amber Atkins won't give up without a fight.",Comedy
Vicky Vidya Ka Woh Wala Video,"Vicky and Vidya, newly married, decide to record a video of their first night together as a keepsake for the future. However, their plan goes awry when the CD with the video gets stolen. What follows is a chaotic and comedic journey as the couple scrambles to retrieve it before things spiral out of control.",Comedy
EFC,"In this adrenaline-fueled story, the world of women's mixed martial arts is rocked by an explosive showdown between reigning champion Cassady Jones and rising star Alexa Star. The clash of these two titans sends shockwaves through the EFC, as the future of the sport hangs in the balance.",Drama
The Man Who Knew Too Much,"A couple vacationing in Morocco with their young son accidentally stumble upon an assassination plot. When the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him.","Thriller, Mystery"
Summer of 85,"What do you dream of when you're 16-years-old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? Living life at breakneck speed? No. You dream of death. Because you can't get a bigger kick than dying. And that's why you save it till the very end. The summer holidays are just beginning, and this story recounts how Alexis grew into himself.","Romance, Drama"
"Hello, My Dolly Girlfriend","A lonely otaku is fired from his job. He is rescued in a ruined building by a strange girl in a sailor suit. When he wakes up, the girl becomes a figure. The young man and the pretty figure begin to live together.","Drama, Romance"
Blue Thunder,"Los Angeles, California. Officer Murphy, a veteran Metropolitan Police helicopter pilot suffering from severe trauma due to his harsh experiences during the Vietnam War, and Lymangood, his resourceful new partner, are tasked with testing an advanced and heavily armed experimental chopper known as Blue Thunder.","Drama, Action, Thriller"
Immortal Demon Slayer,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.","Fantasy, Action, Adventure, Family"
Believer 2,A determined detective continues his search for the truth behind Asia's largest drug organization and its elusive boss he has unfinished business with.,"Thriller, Action, Crime"
Project A Part II,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt police superintendent.","Action, Comedy"
A Bold Life,"Depicts the checkered story of a businessman working for a toy company in financial trouble, who overcomes hardships to win a major victory.","Romance, Comedy"
Project A Part II,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt police superintendent.","Action, Comedy"
A Bold Life,"Depicts the checkered story of a businessman working for a toy company in financial trouble, who overcomes hardships to win a major victory.","Romance, Comedy"
The Best Friend,"Lucas and Felipe spend their first day of vacation together wearing out jokes and hanging out. But beneath this apparent normality, Lucas’ heart is burning in fire.","Romance, Drama"
"Ranma 1/2 the Movie: Big Trouble in Nekonron, China","When Prince Kirin of the 7 Lucky Gods shows up at the Tendo dojo looking for his bride-to-be, guess who's accidentally holding the scroll that signifies his future mate? Why, Akane, of course, and the rest of the Ranma crew is forced to take a boat to China in order to save her from the horrors of marriage and a diet of pickled vegetables.","Animation, Comedy, Action, Romance, Adventure"
Tarzan & Jane,"With the first anniversary of her wedding to Tarzan beckoning, Jane ponders how to make it the perfect English celebration.","Animation, Family"
The Stone,"When Ake desperately needs money to pay for his gravely ill father's medical treatment, he takes his father's sacred amulet to be appraised by the renowned expert Seng Paradise.","Crime, Thriller, Drama"
Police Academy 5: Assignment Miami Beach,The Police Academy misfits travel to Miami Beach for Commandant Lassard to be honored with a prestigious lifetime award pending his retirement. Things take a turn when Lassard unknowingly ends up in possession of stolen diamonds from a jewel heist.,"Comedy, Crime"
Cold War,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.","Romance, Music, Drama"
The Wedding Date,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.","Romance, Comedy"
Police Academy 3: Back in Training,"When police funding is cut, the Governor announces he must close one of the academies. To make it fair, the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds, but things don't quite turn out as expected...","Comedy, Crime"
The Lair of the White Worm,"When an archaeologist uncovers a strange skull in a foreign land, the residents of a nearby town begin to disappear, leading to further inexplicable occurrences.","Horror, Comedy"
Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.","Action, Animation, Crime, Drama"
The 8th Night,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.","Mystery, Thriller, Horror"
The Divide,"The Divide tells the story of 7 individuals striving for a better life in modern day US and UK - where the top 0.1% owns as much wealth as the bottom 90%. By plotting these tales together, we uncover how virtually every aspect of our lives is controlled by one factor: the size of the gap between rich and poor.The film is inspired by ""The Spirit Level"" by Richard Wilkinson and Kate Pickett.",Documentary
Looking for Jackie,"Jackie Chan is the undefeated Kung Fu Master who dishes out the action in traditional Jackie Chan style. When a young boy sets out to learn how to fight from the Master himself, he not only witnesses some spectacular fights, but learns some important life lessons along the way.","Action, Comedy, Family"
Dragon Tiger Gate,Three young martial arts masters emerge from the back streets of Hong Kong to help the powerless fight injustice.,"Action, Thriller"
13 Exorcisms,"After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.","Drama, Horror"
Amour,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","Drama, Romance"
Rally Road Racers,"Zhi, a rookie race car driver, gets the opportunity to compete against the reigning champion of the rally car circuit. With help from a former driver-turned-mechanic, Zhi must overcome treacherous terrain, rival racers, and unexpected obstacles to prove he has what it takes to be the next great racer.","Animation, Family, Comedy"
Dragon Ball: Episode of Bardock,"A spin-off scenario taking place after the events of the TV special Dragon Ball Z: Bardock - The Father of Goku, in which Bardock survives the destruction of Planet Vegeta and is sent into the past, combating Frieza's ancestor Chilled and turning into a Super Saiyan.","Action, Animation, Science Fiction"
Jimmy Timmy Power Hour,"Mayhem reigns supreme in the animated kingdom as whiz kid Jimmy Neutron and Timmy from ""The Fairly Oddparents"" swap places in each other's worlds.","Animation, Comedy, Family, Fantasy, TV Movie, Science Fiction"
Teen Witch,Louise is not very popular at her highschool. Then she learns that she's descended from the witches of Salem and has inherited their powers. At first she uses them to get back at the girls and teachers who teased her and to win the heart of the handsome footballer's captain. But soon she has doubts if it's right to 'cheat' her way to popularity.,"Comedy, Fantasy, Romance"
Siren XXX: Magical Pleasure,"In a rural port town, Kenji Ishikawa runs a barber shop together with his new wife, who speaks very little and has mysterious eyes to match her amorous presence. Running the shop isn’t easy as hardly any customers come…  One evening, a man comes to the shop, as if lured by the faint hum of the wife. As the man takes a seat, Kenji exits his shop. The wife then gently fingers the man’s neck…","Thriller, Drama"
Love Wrecked,"18-year-old Jenny Taylor is ecstatic when she finds out that her favorite rock star, Jason Masters, is a guest at the tropical resort where she is working for the summer. When they are both thrown overboard during a Caribbean cruise, she saves his life and they find themselves stranded on a remote beach. Deliriously in love with the idea of time alone with him, she manages to hide the fact that they're a stone's throw away from their resort.","Romance, Comedy"
18 Year Old Virgin,"In a series of sexual mishaps, a high school senior tries to lose her virginity on the last night before graduation.",Comedy
Crayon Shin-chan: Action Mask vs. Leotard Devil,"Everyone's favorite TV superhero Action Mask shows up in Kasukabe, and he's trying to get something from Shin-chan -- but what could it be?","Animation, Comedy"
A Thousand and One,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.","Drama, Crime"
Barbie: A Perfect Christmas,"Join Barbie and her sisters Skipper, Stacie and Chelsea as their holiday vacation plans turn into a most unexpected adventure and heartwarming lesson. After a snowstorm diverts their plane, the girls find themselves far from their New York destination and their holiday dreams. Now stranded at a remote inn in the tiny town of Tannenbaum, the sisters are welcomed by new friends and magical experiences. In appreciation for the wonderful hospitality they receive, they use their musical talents to put on a performance for the whole town. Barbie and her sisters realize the joy of being together is what really makes A Perfect Christmas!","Animation, Family"
The Girl Who Believes in Miracles,"When Sara hears a preacher say faith can move mountains, she starts praying. Suddenly people in her town are mysteriously healed! But fame soon takes its toll – can Sara’s family save her before it’s too late?","Family, Drama"
Black Snake Moan,"A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, is looking everywhere for love, but never quite finding it.",Drama
Endless Journey of Love,"In 1930s China, village girl Qian Xiao gains the power to control time, making her a target of powerful forces. As she uncovers the metropolis's hidden secrets, she faces peril and the cost of her gift.","Romance, Animation, Fantasy, Adventure"
"Sin querer, queriendo",An unscrupulous journalist confronts another journalist more idealistic than him.,Drama
For Jojo,"When her best friend Jojo falls in love and moves on from their wild dating adventures in Berlin, Paula does everything she can to sabotage her wedding.",Drama
Bosomy College Girl,"Hyeon-woo loves Seo-yeon for a long time and has been confessing his feelings constantly, but Seo-yeon refuses Hyeon-woo every time. Bo-ram and Min-jae always come together and drink together whenever Hyun-woo is dumped. However, Min-jae hides his relationship with Seo-yeon to Hyeon-woo. Min-jar tells Seo-yeon to stop teasing Hyeon-woo but Seo-yeon just enjoys the situation. Bo-ram who used to like her childhood friend Hyeon-woo, holds a special class to boost his confidence. He has become depressed after being dumped by Seo-yeon. Hyeon-woo is thankful for meeting Seo-yeon because of her. Only after some time did each of them know their real feelings.","Drama, Romance"
Tag,"Mitsuko, a young student, encounters a series of horrifying incidents set in alternate realities where people wind up dead in the most horrendous fashion.","Action, Fantasy, Horror, Drama, Science Fiction, Thriller, Mystery"
Man Bites Dog,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.","Comedy, Crime"
"No Chains, No Masters","1759, Mauritius Island, Indian Ocean. The island is controlled by French settlers and the deported slave population live in fear while toiling in the sugar cane plantations. Unlike her disillusioned father Massamba, 16-year-old Mati refuses to keep her head down and accept her fate.","Drama, History"
Undercover Party Crasher,"In order to get evidence for her case and dismantle a criminal organization, an uptight undercover cop crashes a high school graduation trip to a party-heavy beach in Brazil.","Comedy, Action"
Her Blue Sky,"High school student Aoi Aioi lives with her elder sister, Akane, after a tragic accident took their parents away 13 years ago. Because Akane has since been taking care of her single-handedly, Aoi wants to move to Tokyo after her graduation to relieve her sister's burden and pursue a musical career, inspired by Akane's ex-boyfriend Shinnosuke ""Shinno"" Kanamuro. Shinno was part of a band until he left for Tokyo to become a professional guitarist after the sisters' parents passed away, and he was never to be seen again.","Animation, Romance"
The Case for Christ,"Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife... with unexpected, life-altering results.",Drama
"No Chains, No Masters","1759, Mauritius Island, Indian Ocean. The island is controlled by French settlers and the deported slave population live in fear while toiling in the sugar cane plantations. Unlike her disillusioned father Massamba, 16-year-old Mati refuses to keep her head down and accept her fate.","Drama, History"
Undercover Party Crasher,"In order to get evidence for her case and dismantle a criminal organization, an uptight undercover cop crashes a high school graduation trip to a party-heavy beach in Brazil.","Comedy, Action"
Her Blue Sky,"High school student Aoi Aioi lives with her elder sister, Akane, after a tragic accident took their parents away 13 years ago. Because Akane has since been taking care of her single-handedly, Aoi wants to move to Tokyo after her graduation to relieve her sister's burden and pursue a musical career, inspired by Akane's ex-boyfriend Shinnosuke ""Shinno"" Kanamuro. Shinno was part of a band until he left for Tokyo to become a professional guitarist after the sisters' parents passed away, and he was never to be seen again.","Animation, Romance"
The Case for Christ,"Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife... with unexpected, life-altering results.",Drama
My Fake Boyfriend,"A young man in a tricky situation follows the advice of his unconventional best friend and uses social media to create a fake boyfriend to keep his awful ex-lover out of his life. But everything backfires when he meets the real love of his life, and breaking up with his fake boyfriend proves hard to do.","Comedy, Romance"
Universal Soldier: Day of Reckoning,"After his wife and daughter are murdered in a home invasion, a widower named John now finds himself up against an army of Universal Soldiers in relentless pursuit, led by a mysterious leader who promises to set UniSols free from their conditioning.","Action, Science Fiction, Thriller"
camrip,"A video essay about camrip created by a Macau's indie-film maker called Thohoyandou Toh (aka Toh Lap-Yu).  When the director helped run the private torrent servers for movies in the early years, he saved some camrips for commercial blockbusters. The camrip is a kind of video file that is ignored and despised by people. In Toh's first video essay, he tried to explore the various meanings of the camrip in the operation of film propaganda, capital circulation, network circulation, and version comparison.",
Prayers for Bobby,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.","Drama, History, TV Movie"
Shut In,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,"Thriller, Horror, Drama"
The Godfather Family: A Look Inside,"A documentary on the making of the three Godfather films, with interviews and recollections from the film makers and cast. This feature also includes the original screen tests of some of the actors for ""The Godfather"" film, and some candid moments on the set of ""The Godfather: Part III.""","Documentary, TV Movie"
Ultras,"Ultras – the heart and soul of football stadiums around the globe. The supporters that will do anything for the team and yields that extra power into the game to help their team win. ULTRAS is not your regular sports film. Through epic images and a cinematic mosaic of football supporters and their societal contexts around the world, we portray a subculture that is widely known but yet mysterious and inaccessible for most of us.",Documentary
Student Services,"Nineteen-year-old Laura is stressed by her first year at college when money worries distract her from her studies and so, desperate for cash, she answers an online advertisement for intimate companionship that leads her down a dangerous path.",Drama
The Bible: In the Beginning...,"Covering only the first 22 chapters of the Book of Genesis, vignettes include: Adam and Eve frolicking in the Garden of Eden until their indulgence in the forbidden fruit sees them driven out; Cain murdering his brother Abel; Noah building an ark to preserve the animals of the world from the coming flood; and Abraham making a covenant with God.","Adventure, History, Drama"
Playing House,"A young, ambitious editor finds out she's pregnant just as she lands her big break.","Comedy, Romance"
At Close Range,"Brad Whitewood Jr. lives in rural Pennsylvania and has few prospects. Against his mother's wishes, he seeks out his estranged father, the head of a gang of thieves in a nearby town. Though his new girlfriend supports his criminal ambitions, Brad Jr. soon learns that his father is a dangerous man. Inspired by the real events that led to the end of the Johnston Gang, who operated in the northeastern United States in the 1970s.","Crime, Drama, Thriller"
A World Of Worlds: Rise of the King,"This saga continues as Lord Zahyian Crehin becomes fully aware of who he is with the help of Commander Sofia Hayden. He begins to piece together the current state of his planet and vows to hunt down its violator, the evil warlock Sil.",Fantasy
Desi Boyz,"When two cash-strapped UK-based Indians become male escorts amid an economic downturn, money flows right in but everything else in their lives starts falling apart.","Comedy, Drama"
The Last Warrior: Emissary of Darkness,"Now that Ivan is about to turn 21, he is now grown up and finally old enough to marry the beautiful Vasilisa. But when Vasilisa is kidnapped and trapped in modern Moscow, Ivan and his friends must travel to the present day to rescue her.","Fantasy, Adventure, Comedy"
Heart Beats,"When Tsukasa was a middle school student, she had a crush on transfer student Hayato and even confessed her feelings to him. She was turned down by Hayato. Now, Tsukasa and Hayato are classmates in high school. Hayato treats Tsukasa as just a friend, but Tsukasa still has feelings for him. Meanwhile, Hayato becomes attracted to Tsukasa.","Romance, Drama"
Friends with Money,"As she reaches her mid-thirties and quits her lucrative job, singleton Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends. She begins to envy the security of her richer friends and, although their lives may seem easier, Olivia's friends have their problems too: screenwriters Christine and Patrick are unable to collaborate on their latest project, Jane and Aaron have lost the romance in their relationship, and Franny and Matt have difficulties handling the demands of parenthood.","Comedy, Drama, Romance"
National Lampoon's European Vacation,"The Griswolds win a vacation to Europe on a game show, and so pack their bags for the continent. They do their best to catch the flavor of Europe, but they just don't know how to be be good tourists. Besides, they have trouble taking holidays in countries where they CAN speak the language.","Adventure, Comedy, Romance"
Vicky and Her Mystery,"Stéphane decides to move to the beautiful mountains of Cantal in order to reconnect with his 8-year-old daughter, Victoria, who has been silent since her mother's disappearance. During a walk in the forest, a shepherd gives Victoria a puppy named ""Mystery"" who will gradually give her a taste for life. But very quickly, Stéphane discovers that the animal is in reality a wolf… Despite the warnings and the danger of this situation, he cannot bring himself to separate his daughter from this seemingly harmless ball of hair.","Adventure, Family, Drama"
Code Geass: Lelouch of the Rebellion - Glorification,"A recap of Code Geass: Lelouch of the Rebellion episodes 42–50, with new footage. The Black Knights and the Holy Empire of Britannia finally meet head-on. Meanwhile, Lelouch is confronted with an issue least anticipated: his kid sister Nunnally.","Science Fiction, Animation, Drama, Action"
In the House,"A sixteen-year-old boy insinuates himself into the house of a fellow student from his literature class and writes about it in essays for his French teacher. Faced with this gifted and unusual pupil, the teacher rediscovers his enthusiasm for his work, but the boy’s intrusion will unleash a series of uncontrollable events.","Comedy, Drama, Mystery, Thriller"
14 Blades,"Commander Qinglong is the loyal leader of the assassin group that serves the emperor. But when his allies plan a rebellion against the ruler, he finds himself in danger.","Drama, Action, Thriller"
Shanghai Knights,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.","Action, Adventure, Comedy, Western"
Angelique,"In 17th-century France, beautiful country maiden Angélique marries wealthy neighbor Jeoffray de Peyrac out of convenience, but eventually, she falls in love with him. So when Jeoffray is arrested and then vanishes, she bravely sets out to find him. This is the first of many dramas based on Anne and Serge Golon's novels about strong-willed Angélique and her adventures during the reign of Louis XIV, the Sun King.","Adventure, Romance, History"
Aloevera,"In a town divided into two opposing groups, a man and woman from opposite sides fall for each other. But can love transcend the line that separates them?","Romance, Drama"
The Grudge 2,"A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo, a mean high school prank goes horribly wrong, and strange things begin happening in a Chicago apartment building.","Horror, Thriller"
Hawks Ridge,"A black, grieving ex-pastor saves the life of the white man that killed his wife.",Drama
Tora! Tora! Tora!,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words used by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.","War, History, Drama"
Ironheart,An L.A. cop goes after a gang of murderous drug dealers.,"Action, Crime"
The End We Start From,"As London is submerged below floodwaters, a woman gives birth to her first child. Days later, she and her baby are forced to leave their home in search of safety. They head north through a newly dangerous country seeking refuge from place to place.","Drama, Mystery, Thriller"
Battle Angel,"In his travels as a bounty hunter, Hunter–Warrior and cyborg healer Ido one day discovers and repairs the remnants of a cyborg whom he names Gally. Though possessing the body of a young woman, Gally now embodies Ido's most sophisticated and lethal cybernetic skills. The preternaturally strong, amnesiac Gally begins to forge a life for herself in a world where every day is a struggle for survival.","Animation, Action, Science Fiction"
Heart and Souls,"A fateful night in 1959, four people die when the bus they are riding crashes. They continue as ghosts; their souls become eternally entwined to the life of a child born at the moment of their deaths as his guardians. Baby Thomas grows up to be a businessman who has memories of his playmates, but assumes they are products of his youthful imagination. When the ghosts realize they need Thomas' help to move on to the afterlife, they decide to make an appearance once more.","Fantasy, Comedy, Romance"
Batman Beyond: Return of the Joker,"The Joker is back with a vengeance, and Neo-Gotham's Dark Knight, Terry McGinnis, needs answers as he stands alone to face the old Gotham's most infamous Clown Prince of Crime.","Animation, Action, Science Fiction, Thriller"
Lords of Chaos,A teenager's quest to launch Norwegian Black Metal in Oslo in the 1990s results in a very violent outcome.,"Drama, Music, Thriller, Horror"
How to Dump a Hockey Star,"After leaving behind her life as a billionaire heiress, Renee dedicates herself to helping her husband recover from a vegetative state and pursue his NHL dreams. However, after suffering a devastating miscarriage, she is faced with a brutal truth: the man she sacrificed everything for might have chosen someone else.",Drama
Beasts Cage,"A young bar waitress, Natsuko has accepted to many Mr. Uehara, a rich art teacher. It’s because Uehara could pay the debt for Natsuko’s ex-husband. Mr. Uchara agreed with the terms but suspected that Natsuko betrayed him for money and continued to meet Seiji. Mr. Uehara determined to punish his young wife in his “artistic” way. He tied her up and locked her in the basement of his house, or better described as “the beasts’ cage”, a place where a “bitch” was tortured and sexually abused in various SM ways",Drama
Assassination,"In Japanese-occupied Korea, three freedom fighters are assigned a mission to assassinate a genocidal military leader and his top collaborator. But the plan goes completely awry amidst double-crossings, counter-assassinations, and a shocking revelation about one of the assassins' past.","Action, Thriller, Drama"
Bleach the Movie: Hell Verse,"Hell – A place where beings that have committed mortal sins during their lifetime are sent. It is a realm where even Soul Reapers are forbidden to interfere. When a group of vicious Sinners plot to escape from this eternal prison, they discover that Substitute Soul Reaper Ichigo Kurosaki is the key to their freedom.","Action, Animation, Fantasy, Adventure"
Aliens in the Attic,A group of kids must protect their vacation home from invading aliens.,"Adventure, Comedy, Family, Fantasy, Science Fiction"
Sookshmadarshini,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister.","Mystery, Thriller, Comedy"
The Retaliators,An upstanding pastor uncovers a dark and twisted underworld as he searches for answers surrounding his daughter's brutal murder.,"Horror, Thriller, Action"
Mount Lawrence,"Chandler Wild, A New York based filmmaker, travels 6,700 miles to the end of the road in Alaska to honor his deceased father by naming a mountain after him.",Documentary
The Land Before Time II: The Great Valley Adventure,"This time, while building a hideaway in their new home of the Great Valley, Littlefoot and the gang rescue a mysterious egg from two scheming egg-nappers and make a starling surprise - and new friend - when the egg hatches.","Animation, Adventure, Family"
Ravenous,"Upon receiving reports of missing persons at Fort Spencer, a remote Army outpost on the Western frontier, Capt. John Boyd investigates. After arriving at his new post, Boyd and his regiment aid a wounded frontiersman who recounts a horrifying tale of a wagon train murdered by its supposed guide -- a vicious U.S. Army colonel gone rogue. Fearing the worst, the regiment heads out into the wilderness to verify the gruesome claims.","Adventure, Horror, Western, Comedy, Drama"
Intersection,"During a car accident, Vincent Eastman watches his whole life flash before his eyes, and he doesn't like what he sees. While maintaining the semblance of a marriage with his wife, Sally, Vincent has been carrying on with a mistress, Olivia. She's everything Sally isn't -- warm, passionate, carefree. So why can't he choose between the two, especially when his indecision is taking its toll on his daughter?","Drama, Romance"
Living in Two Houses,,Drama
Shimmy: The First Monkey King,"Shimmy, a monkey newly discover superhero powers and learns how to control his extraordinary transformative abilities and prevent powerful demonic forces from sending the universe into chaos.","Animation, Adventure, Action, Comedy, Fantasy"
The Kung Fu Cult Master,"A wild and rollicking martial arts fantasy extravaganza that features prized swords and swordsmen, a crazy monk attached to a rolling boulder, serious clan and cult rivalries, and lots of magic and flying.","Action, Fantasy, History"
The Sleeping Dictionary,"A young Englishman is dispatched to Sarawak to become part of the British colonial government. He encounters some unorthodox local traditions, and finds himself faced with tough decisions of the heart involving the beautiful Selima, the unwitting object of his affections.","Drama, Romance"
American Expose: Who Murdered JFK?,"Investigative reporter Jack Anderson hosts a two-hour investigation of the Kennedy Assassination featuring interviews with experts, eyewitnesses, government officials and authors. Includes dramatic recreations of key events.","Documentary, History, Mystery"
The Flying Deuces,"Ollie falls in love with a woman. When he discovers she's already married, he unsuccessfully attempts suicide but he and Stan then decide to join the Foreign Legion to get away from their troubles. When they’re arrested for soon trying to desert the Legion—they escape a firing squad by stealing an aircraft.","Comedy, War"
Auto de Resistência,"A documentary about the Rio de Janeiro police killings praticed as so-called ""self-defense acts"". The film follows people who deal with those deaths in their daily lives, showing how Brazil's Federal Government deals with these cases, from the police investigations to the courtrooms.",Documentary
Sniper: Reloaded,"Marine Sgt. Brandon Beckett, son of the U.S. Marine Corps' deadliest sniper, Thomas Beckett, must turn to his father's former protégé (Billy Zane) to track down and kill a mysterious sniper before he kills his next target.","War, Action, Thriller, Drama"
All About the Benjamins,"Bounty hunter Bucum Jackson teams with the small-time con artist, Reggie Wright, that he is pursuing, in an attempt to locate a missing stash of diamonds and a lottery ticket worth millions of dollars. Bucum and Reggie find themselves in a race to the finish as they embark on an unlikely partnership that should -- when all is said and done -- prove beneficial to them both.","Action, Adventure, Comedy, Crime, Thriller"
Extraction,"When a former CIA operative is kidnapped by a group of terrorists, his son learns there is no plan for his father to be saved—so he launches his own rescue operation.","Action, Thriller"
Royalteen,A teenager struggles to keep her scandal-ridden past and a big secret from getting out when she strikes up an unlikely romance with the crown prince.,"Romance, Drama"
The Cuckoo,"September of 1944, a few days before Finland went out of the Second World War. A chained to a rock Finnish sniper-kamikadze Veikko managed to set himself free. Ivan, a captain of the Soviet Army, arrested by the Front Secret Police 'Smersh', has a narrow escape. They are soldiers of the two enemy armies. A Lapp woman Anni gives a shelter to both of them at her farm. For Anni they are not enemies, but just men.","Drama, History, Romance, Comedy"
Lazareth,"Lee is an aunt whose life mission is to protect her orphaned nieces, Imogen and Maeve, from a self-destructing world, raising them in isolation until an outsider threatens their peaceful existence.",Thriller
Ala Vaikunthapurramuloo,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","Action, Comedy, Drama"
SQ005 SQ エボルーション Vol.5 ： 沢井芽衣 パート2,,
American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,"Action, Adventure, Thriller"
Stagecoach,"Story follows a stagecoach ride through Old West Apache territory. On board are a cavalry man's pregnant wife, a prostitute with a broken heart, a Marshal taking in his prisoner Johnny Ringo, a crooked gambler, and the infamous Doc Holliday","TV Movie, Western"
Manamey,"A charismatic playboy's life takes an unexpected turn when a young boy enters his world. Initially causing chaos, the boy gradually becomes an integral part of their lives.","Drama, Family"
A Company Man,A contract killer becomes disenchanted with his line of work and spares the lives of his two latest would-be-victims. But the assassination company he works for has no intentions of letting him quit.,"Drama, Action, Crime, Thriller"
